bit_size,hamming_weight,algorithm,k,sample,multiplications,squarings,total_ops
1024,1,binary_lr,,0,1,1024,1025
1024,1,binary_rl,,0,1,1023,1024
1024,1,kary,4,0,269,1020,1289
1024,1,sliding,4,0,7,1024,1031
1024,1,kary,6,0,232,1020,1252
1024,1,sliding,6,0,31,1024,1055
1024,1,binary_lr,,1,1,1024,1025
1024,1,binary_rl,,1,1,1023,1024
1024,1,kary,4,1,269,1020,1289
1024,1,sliding,4,1,7,1024,1031
1024,1,kary,6,1,232,1020,1252
1024,1,sliding,6,1,31,1024,1055
1024,1,binary_lr,,2,1,1024,1025
1024,1,binary_rl,,2,1,1023,1024
1024,1,kary,4,2,269,1020,1289
1024,1,sliding,4,2,7,1024,1031
1024,1,kary,6,2,232,1020,1252
1024,1,sliding,6,2,31,1024,1055
1024,1,binary_lr,,3,1,1024,1025
1024,1,binary_rl,,3,1,1023,1024
1024,1,kary,4,3,269,1020,1289
1024,1,sliding,4,3,7,1024,1031
1024,1,kary,6,3,232,1020,1252
1024,1,sliding,6,3,31,1024,1055
1024,1,binary_lr,,4,1,1024,1025
1024,1,binary_rl,,4,1,1023,1024
1024,1,kary,4,4,269,1020,1289
1024,1,sliding,4,4,7,1024,1031
1024,1,kary,6,4,232,1020,1252
1024,1,sliding,6,4,31,1024,1055
1024,1,binary_lr,,5,1,1024,1025
1024,1,binary_rl,,5,1,1023,1024
1024,1,kary,4,5,269,1020,1289
1024,1,sliding,4,5,7,1024,1031
1024,1,kary,6,5,232,1020,1252
1024,1,sliding,6,5,31,1024,1055
1024,1,binary_lr,,6,1,1024,1025
1024,1,binary_rl,,6,1,1023,1024
1024,1,kary,4,6,269,1020,1289
1024,1,sliding,4,6,7,1024,1031
1024,1,kary,6,6,232,1020,1252
1024,1,sliding,6,6,31,1024,1055
1024,1,binary_lr,,7,1,1024,1025
1024,1,binary_rl,,7,1,1023,1024
1024,1,kary,4,7,269,1020,1289
1024,1,sliding,4,7,7,1024,1031
1024,1,kary,6,7,232,1020,1252
1024,1,sliding,6,7,31,1024,1055
1024,1,binary_lr,,8,1,1024,1025
1024,1,binary_rl,,8,1,1023,1024
1024,1,kary,4,8,269,1020,1289
1024,1,sliding,4,8,7,1024,1031
1024,1,kary,6,8,232,1020,1252
1024,1,sliding,6,8,31,1024,1055
1024,1,binary_lr,,9,1,1024,1025
1024,1,binary_rl,,9,1,1023,1024
1024,1,kary,4,9,269,1020,1289
1024,1,sliding,4,9,7,1024,1031
1024,1,kary,6,9,232,1020,1252
1024,1,sliding,6,9,31,1024,1055
1024,1,binary_lr,,10,1,1024,1025
1024,1,binary_rl,,10,1,1023,1024
1024,1,kary,4,10,269,1020,1289
1024,1,sliding,4,10,7,1024,1031
1024,1,kary,6,10,232,1020,1252
1024,1,sliding,6,10,31,1024,1055
1024,1,binary_lr,,11,1,1024,1025
1024,1,binary_rl,,11,1,1023,1024
1024,1,kary,4,11,269,1020,1289
1024,1,sliding,4,11,7,1024,1031
1024,1,kary,6,11,232,1020,1252
1024,1,sliding,6,11,31,1024,1055
1024,1,binary_lr,,12,1,1024,1025
1024,1,binary_rl,,12,1,1023,1024
1024,1,kary,4,12,269,1020,1289
1024,1,sliding,4,12,7,1024,1031
1024,1,kary,6,12,232,1020,1252
1024,1,sliding,6,12,31,1024,1055
1024,1,binary_lr,,13,1,1024,1025
1024,1,binary_rl,,13,1,1023,1024
1024,1,kary,4,13,269,1020,1289
1024,1,sliding,4,13,7,1024,1031
1024,1,kary,6,13,232,1020,1252
1024,1,sliding,6,13,31,1024,1055
1024,1,binary_lr,,14,1,1024,1025
1024,1,binary_rl,,14,1,1023,1024
1024,1,kary,4,14,269,1020,1289
1024,1,sliding,4,14,7,1024,1031
1024,1,kary,6,14,232,1020,1252
1024,1,sliding,6,14,31,1024,1055
1024,1,binary_lr,,15,1,1024,1025
1024,1,binary_rl,,15,1,1023,1024
1024,1,kary,4,15,269,1020,1289
1024,1,sliding,4,15,7,1024,1031
1024,1,kary,6,15,232,1020,1252
1024,1,sliding,6,15,31,1024,1055
1024,1,binary_lr,,16,1,1024,1025
1024,1,binary_rl,,16,1,1023,1024
1024,1,kary,4,16,269,1020,1289
1024,1,sliding,4,16,7,1024,1031
1024,1,kary,6,16,232,1020,1252
1024,1,sliding,6,16,31,1024,1055
1024,1,binary_lr,,17,1,1024,1025
1024,1,binary_rl,,17,1,1023,1024
1024,1,kary,4,17,269,1020,1289
1024,1,sliding,4,17,7,1024,1031
1024,1,kary,6,17,232,1020,1252
1024,1,sliding,6,17,31,1024,1055
1024,1,binary_lr,,18,1,1024,1025
1024,1,binary_rl,,18,1,1023,1024
1024,1,kary,4,18,269,1020,1289
1024,1,sliding,4,18,7,1024,1031
1024,1,kary,6,18,232,1020,1252
1024,1,sliding,6,18,31,1024,1055
1024,1,binary_lr,,19,1,1024,1025
1024,1,binary_rl,,19,1,1023,1024
1024,1,kary,4,19,269,1020,1289
1024,1,sliding,4,19,7,1024,1031
1024,1,kary,6,19,232,1020,1252
1024,1,sliding,6,19,31,1024,1055
1024,50,binary_lr,,0,50,1024,1074
1024,50,binary_rl,,0,50,1023,1073
1024,50,kary,4,0,269,1020,1289
1024,50,sliding,4,0,52,1024,1076
1024,50,kary,6,0,232,1020,1252
1024,50,sliding,6,0,72,1024,1096
1024,50,binary_lr,,1,50,1024,1074
1024,50,binary_rl,,1,50,1023,1073
1024,50,kary,4,1,269,1020,1289
1024,50,sliding,4,1,54,1024,1078
1024,50,kary,6,1,232,1020,1252
1024,50,sliding,6,1,72,1024,1096
1024,50,binary_lr,,2,50,1024,1074
1024,50,binary_rl,,2,50,1023,1073
1024,50,kary,4,2,269,1020,1289
1024,50,sliding,4,2,50,1024,1074
1024,50,kary,6,2,232,1020,1252
1024,50,sliding,6,2,68,1024,1092
1024,50,binary_lr,,3,50,1024,1074
1024,50,binary_rl,,3,50,1023,1073
1024,50,kary,4,3,269,1020,1289
1024,50,sliding,4,3,49,1024,1073
1024,50,kary,6,3,232,1020,1252
1024,50,sliding,6,3,70,1024,1094
1024,50,binary_lr,,4,50,1024,1074
1024,50,binary_rl,,4,50,1023,1073
1024,50,kary,4,4,269,1020,1289
1024,50,sliding,4,4,49,1024,1073
1024,50,kary,6,4,232,1020,1252
1024,50,sliding,6,4,71,1024,1095
1024,50,binary_lr,,5,50,1024,1074
1024,50,binary_rl,,5,50,1023,1073
1024,50,kary,4,5,269,1020,1289
1024,50,sliding,4,5,53,1024,1077
1024,50,kary,6,5,232,1020,1252
1024,50,sliding,6,5,73,1024,1097
1024,50,binary_lr,,6,50,1024,1074
1024,50,binary_rl,,6,50,1023,1073
1024,50,kary,4,6,269,1020,1289
1024,50,sliding,4,6,49,1024,1073
1024,50,kary,6,6,232,1020,1252
1024,50,sliding,6,6,71,1024,1095
1024,50,binary_lr,,7,50,1024,1074
1024,50,binary_rl,,7,50,1023,1073
1024,50,kary,4,7,269,1020,1289
1024,50,sliding,4,7,53,1024,1077
1024,50,kary,6,7,232,1020,1252
1024,50,sliding,6,7,69,1024,1093
1024,50,binary_lr,,8,50,1024,1074
1024,50,binary_rl,,8,50,1023,1073
1024,50,kary,4,8,269,1020,1289
1024,50,sliding,4,8,52,1024,1076
1024,50,kary,6,8,232,1020,1252
1024,50,sliding,6,8,71,1024,1095
1024,50,binary_lr,,9,50,1024,1074
1024,50,binary_rl,,9,50,1023,1073
1024,50,kary,4,9,269,1020,1289
1024,50,sliding,4,9,52,1024,1076
1024,50,kary,6,9,232,1020,1252
1024,50,sliding,6,9,70,1024,1094
1024,50,binary_lr,,10,50,1024,1074
1024,50,binary_rl,,10,50,1023,1073
1024,50,kary,4,10,269,1020,1289
1024,50,sliding,4,10,50,1024,1074
1024,50,kary,6,10,232,1020,1252
1024,50,sliding,6,10,70,1024,1094
1024,50,binary_lr,,11,50,1024,1074
1024,50,binary_rl,,11,50,1023,1073
1024,50,kary,4,11,269,1020,1289
1024,50,sliding,4,11,51,1024,1075
1024,50,kary,6,11,232,1020,1252
1024,50,sliding,6,11,71,1024,1095
1024,50,binary_lr,,12,50,1024,1074
1024,50,binary_rl,,12,50,1023,1073
1024,50,kary,4,12,269,1020,1289
1024,50,sliding,4,12,51,1024,1075
1024,50,kary,6,12,232,1020,1252
1024,50,sliding,6,12,71,1024,1095
1024,50,binary_lr,,13,50,1024,1074
1024,50,binary_rl,,13,50,1023,1073
1024,50,kary,4,13,269,1020,1289
1024,50,sliding,4,13,47,1024,1071
1024,50,kary,6,13,232,1020,1252
1024,50,sliding,6,13,69,1024,1093
1024,50,binary_lr,,14,50,1024,1074
1024,50,binary_rl,,14,50,1023,1073
