bit_size,exponent_type,hamming_weight,beta,algorithm,k,sample,multiplications,squarings,total_ops
1024,rsa_65537,2,17,binary_lr,,0,2,17,19
1024,rsa_65537,2,17,binary_rl,,0,2,16,18
1024,rsa_65537,2,17,kary,4,0,15,16,31
1024,rsa_65537,2,17,sliding,4,0,8,17,25
1024,rsa_65537,2,17,kary,6,0,63,12,75
1024,rsa_65537,2,17,sliding,6,0,32,17,49
1024,rsa_3,2,2,binary_lr,,0,2,2,4
1024,rsa_3,2,2,binary_rl,,0,2,1,3
1024,rsa_3,2,2,kary,4,0,14,0,14
1024,rsa_3,2,2,sliding,4,0,7,1,8
1024,rsa_3,2,2,kary,6,0,62,0,62
1024,rsa_3,2,2,sliding,6,0,31,1,32
1024,power_of_2,1,1024,binary_lr,,0,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,0,1,1023,1024
1024,power_of_2,1,1024,kary,4,0,14,1020,1034
1024,power_of_2,1,1024,sliding,4,0,7,1024,1031
1024,power_of_2,1,1024,kary,6,0,62,1020,1082
1024,power_of_2,1,1024,sliding,6,0,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,0,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,0,1024,1023,2047
1024,all_ones,1024,1024,kary,4,0,269,1020,1289
1024,all_ones,1024,1024,sliding,4,0,262,1021,1283
1024,all_ones,1024,1024,kary,6,0,232,1020,1252
1024,all_ones,1024,1024,sliding,6,0,201,1019,1220
1024,random,475,1024,binary_lr,,0,475,1024,1499
1024,random,475,1024,binary_rl,,0,475,1023,1498
1024,random,475,1024,kary,4,0,244,1020,1264
1024,random,475,1024,sliding,4,0,205,1022,1227
1024,random,475,1024,kary,6,0,228,1020,1248
1024,random,475,1024,sliding,6,0,172,1022,1194
1024,rsa_65537,2,17,binary_lr,,1,2,17,19
1024,rsa_65537,2,17,binary_rl,,1,2,16,18
1024,rsa_65537,2,17,kary,4,1,15,16,31
1024,rsa_65537,2,17,sliding,4,1,8,17,25
1024,rsa_65537,2,17,kary,6,1,63,12,75
1024,rsa_65537,2,17,sliding,6,1,32,17,49
1024,rsa_3,2,2,binary_lr,,1,2,2,4
1024,rsa_3,2,2,binary_rl,,1,2,1,3
1024,rsa_3,2,2,kary,4,1,14,0,14
1024,rsa_3,2,2,sliding,4,1,7,1,8
1024,rsa_3,2,2,kary,6,1,62,0,62
1024,rsa_3,2,2,sliding,6,1,31,1,32
1024,power_of_2,1,1024,binary_lr,,1,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,1,1,1023,1024
1024,power_of_2,1,1024,kary,4,1,14,1020,1034
1024,power_of_2,1,1024,sliding,4,1,7,1024,1031
1024,power_of_2,1,1024,kary,6,1,62,1020,1082
1024,power_of_2,1,1024,sliding,6,1,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,1,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,1,1024,1023,2047
1024,all_ones,1024,1024,kary,4,1,269,1020,1289
1024,all_ones,1024,1024,sliding,4,1,262,1021,1283
1024,all_ones,1024,1024,kary,6,1,232,1020,1252
1024,all_ones,1024,1024,sliding,6,1,201,1019,1220
1024,random,513,1024,binary_lr,,1,513,1024,1537
1024,random,513,1024,binary_rl,,1,513,1023,1536
1024,random,513,1024,kary,4,1,257,1020,1277
1024,random,513,1024,sliding,4,1,216,1022,1238
1024,random,513,1024,kary,6,1,228,1020,1248
1024,random,513,1024,sliding,6,1,183,1020,1203
1024,rsa_65537,2,17,binary_lr,,2,2,17,19
1024,rsa_65537,2,17,binary_rl,,2,2,16,18
1024,rsa_65537,2,17,kary,4,2,15,16,31
1024,rsa_65537,2,17,sliding,4,2,8,17,25
1024,rsa_65537,2,17,kary,6,2,63,12,75
1024,rsa_65537,2,17,sliding,6,2,32,17,49
1024,rsa_3,2,2,binary_lr,,2,2,2,4
1024,rsa_3,2,2,binary_rl,,2,2,1,3
1024,rsa_3,2,2,kary,4,2,14,0,14
1024,rsa_3,2,2,sliding,4,2,7,1,8
1024,rsa_3,2,2,kary,6,2,62,0,62
1024,rsa_3,2,2,sliding,6,2,31,1,32
1024,power_of_2,1,1024,binary_lr,,2,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,2,1,1023,1024
1024,power_of_2,1,1024,kary,4,2,14,1020,1034
1024,power_of_2,1,1024,sliding,4,2,7,1024,1031
1024,power_of_2,1,1024,kary,6,2,62,1020,1082
1024,power_of_2,1,1024,sliding,6,2,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,2,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,2,1024,1023,2047
1024,all_ones,1024,1024,kary,4,2,269,1020,1289
1024,all_ones,1024,1024,sliding,4,2,262,1021,1283
1024,all_ones,1024,1024,kary,6,2,232,1020,1252
1024,all_ones,1024,1024,sliding,6,2,201,1019,1220
