bit_size,algorithm,k,sample,time_seconds
64,pow_builtin,,0,7.800059393048286e-06
64,binary_lr,,0,1.1399970389902592e-05
64,binary_rl,,0,1.479999627918005e-05
64,kary,4,0,1.2899981811642647e-05
64,sliding,4,0,1.2899981811642647e-05
64,kary,6,0,1.7200014553964138e-05
64,sliding,6,0,1.5700003132224083e-05
64,kary,8,0,3.950006794184446e-05
64,sliding,8,0,2.759997732937336e-05
64,pow_builtin,,1,7.3999399319291115e-06
64,binary_lr,,1,1.1499971151351929e-05
64,binary_rl,,1,1.479999627918005e-05
64,kary,4,1,1.3499986380338669e-05
64,sliding,4,1,1.4899997040629387e-05
64,kary,6,1,1.8000020645558834e-05
64,sliding,6,1,1.6200006939470768e-05
64,kary,8,1,4.409998655319214e-05
64,sliding,8,1,2.7699978090822697e-05
64,pow_builtin,,2,8.400063961744308e-06
64,binary_lr,,2,1.1400086805224419e-05
64,binary_rl,,2,1.5900004655122757e-05
64,kary,4,2,1.4099990949034691e-05
64,sliding,4,2,1.4299992471933365e-05
64,kary,6,2,1.8700025975704193e-05
64,sliding,6,2,1.5400000847876072e-05
64,kary,8,2,4.47999918833375e-05
64,sliding,8,2,3.320001997053623e-05
64,pow_builtin,,3,8.09994526207447e-06
64,binary_lr,,3,1.1100084520876408e-05
64,binary_rl,,3,1.5199999324977398e-05
64,kary,4,3,1.4099990949034691e-05
64,sliding,4,3,1.4399993233382702e-05
64,kary,6,3,1.7300015315413475e-05
64,sliding,6,3,1.5600002370774746e-05
64,kary,8,3,3.85999446734786e-05
64,sliding,8,3,2.7999980375170708e-05
64,pow_builtin,,4,7.999944500625134e-06
64,binary_lr,,4,1.0900082997977734e-05
64,binary_rl,,4,1.4499993994832039e-05
64,kary,4,4,1.2999982573091984e-05
64,sliding,4,4,1.4299992471933365e-05
64,kary,6,4,1.7700018361210823e-05
64,sliding,6,4,1.5600002370774746e-05
64,kary,8,4,4.200008697807789e-05
64,sliding,8,4,2.8799986466765404e-05
64,pow_builtin,,5,8.70006624609232e-06
64,binary_lr,,5,1.0899966582655907e-05
64,binary_rl,,5,1.479999627918005e-05
64,kary,4,5,1.4499993994832039e-05
64,sliding,4,5,1.5999889001250267e-05
64,kary,6,5,1.98000343516469e-05
64,sliding,6,5,1.8000020645558834e-05
64,kary,8,5,4.3899985030293465e-05
64,sliding,8,5,2.8699985705316067e-05
64,pow_builtin,,6,9.699957445263863e-06
64,binary_lr,,6,1.0800082236528397e-05
64,binary_rl,,6,1.4699995517730713e-05
64,kary,4,6,1.4699995517730713e-05
64,sliding,4,6,1.7400016076862812e-05
64,kary,6,6,1.98000343516469e-05
64,sliding,6,6,1.8700025975704193e-05
64,kary,8,6,4.47999918833375e-05
