bit_size,algorithm,k,sample,multiplications,squarings,total_ops
2048,kary,1,0,1067,2047,3114
2048,sliding,1,0,1067,2047,3114
2048,kary,2,0,802,2046,2848
2048,sliding,2,0,714,2048,2762
2048,kary,3,0,618,2046,2664
2048,sliding,3,0,522,2046,2568
2048,kary,4,0,503,2044,2547
2048,sliding,4,0,428,2046,2474
2048,kary,5,0,431,2045,2476
2048,sliding,5,0,359,2044,2403
2048,kary,6,0,399,2046,2445
2048,sliding,6,0,334,2044,2378
2048,kary,7,0,416,2044,2460
2048,sliding,7,0,320,2044,2364
2048,kary,8,0,508,2040,2548
2048,sliding,8,0,359,2041,2400
2048,kary,9,0,736,2043,2779
2048,sliding,9,0,460,2040,2500
2048,kary,10,0,1226,2040,3266
2048,sliding,10,0,698,2039,2737
2048,kary,1,1,1035,2047,3082
2048,sliding,1,1,1035,2047,3082
2048,kary,2,1,772,2046,2818
2048,sliding,2,1,697,2048,2745
2048,kary,3,1,606,2046,2652
2048,sliding,3,1,518,2046,2564
2048,kary,4,1,490,2044,2534
2048,sliding,4,1,412,2046,2458
2048,kary,5,1,426,2045,2471
2048,sliding,5,1,355,2044,2399
2048,kary,6,1,399,2046,2445
2048,sliding,6,1,324,2043,2367
2048,kary,7,1,418,2044,2462
2048,sliding,7,1,317,2042,2359
2048,kary,8,1,507,2040,2547
2048,sliding,8,1,358,2041,2399
2048,kary,9,1,737,2043,2780
2048,sliding,9,1,460,2040,2500
2048,kary,10,1,1226,2040,3266
2048,sliding,10,1,695,2040,2735
2048,kary,1,2,1015,2047,3062
2048,sliding,1,2,1015,2047,3062
2048,kary,2,2,769,2046,2815
2048,sliding,2,2,686,2048,2734
2048,kary,3,2,605,2046,2651
2048,sliding,3,2,513,2048,2561
2048,kary,4,2,489,2044,2533
2048,sliding,4,2,418,2048,2466
2048,kary,5,2,428,2045,2473
2048,sliding,5,2,355,2048,2403
2048,kary,6,2,400,2046,2446
2048,sliding,6,2,320,2043,2363
2048,kary,7,2,416,2044,2460
2048,sliding,7,2,319,2043,2362
2048,kary,8,2,509,2040,2549
2048,sliding,8,2,356,2041,2397
2048,kary,9,2,737,2043,2780
2048,sliding,9,2,461,2041,2502
2048,kary,10,2,1226,2040,3266
2048,sliding,10,2,698,2041,2739
2048,kary,1,3,1005,2047,3052
2048,sliding,1,3,1005,2047,3052
2048,kary,2,3,763,2046,2809
2048,sliding,2,3,672,2047,2719
2048,kary,3,3,602,2046,2648
2048,sliding,3,3,513,2047,2560
2048,kary,4,3,498,2044,2542
2048,sliding,4,3,414,2047,2461
2048,kary,5,3,430,2045,2475
2048,sliding,5,3,354,2044,2398
2048,kary,6,3,399,2046,2445
2048,sliding,6,3,322,2043,2365
2048,kary,7,3,416,2044,2460
2048,sliding,7,3,316,2042,2358
2048,kary,8,3,509,2040,2549
2048,sliding,8,3,357,2041,2398
2048,kary,9,3,736,2043,2779
2048,sliding,9,3,461,2041,2502
2048,kary,10,3,1226,2040,3266
2048,sliding,10,3,695,2039,2734
2048,kary,1,4,1044,2047,3091
2048,sliding,1,4,1044,2047,3091
2048,kary,2,4,795,2046,2841
2048,sliding,2,4,693,2047,2740
2048,kary,3,4,615,2046,2661
2048,sliding,3,4,530,2046,2576
2048,kary,4,4,506,2044,2550
2048,sliding,4,4,426,2045,2471
2048,kary,5,4,433,2045,2478
2048,sliding,5,4,361,2044,2405
2048,kary,6,4,401,2046,2447
2048,sliding,6,4,326,2043,2369
2048,kary,7,4,417,2044,2461
2048,sliding,7,4,321,2042,2363
2048,kary,8,4,509,2040,2549
2048,sliding,8,4,359,2042,2401
2048,kary,9,4,737,2043,2780
2048,sliding,9,4,460,2040,2500
2048,kary,10,4,1226,2040,3266
2048,sliding,10,4,699,2040,2739
2048,kary,1,5,1047,2047,3094
2048,sliding,1,5,1047,2047,3094
2048,kary,2,5,784,2046,2830
2048,sliding,2,5,690,2047,2737
2048,kary,3,5,605,2046,2651
2048,sliding,3,5,520,2046,2566
2048,kary,4,5,502,2044,2546
2048,sliding,4,5,425,2046,2471
